iter	RMSE
0	14.79793951
1	14.42386017
2	14.05121352
3	13.68754734
4	13.34887219
5	13.05832068
6	12.75762372
7	12.48440992
8	12.18620551
9	11.88666653
10	11.61382236
11	11.36571181
12	11.11557309
13	10.85690817
14	10.6184727
15	10.38368974
16	10.16216441
17	9.961745792
18	9.747323857
19	9.569133142
20	9.415333605
21	9.256724392
22	9.100442591
23	8.938926428
24	8.781549245
25	8.642892241
26	8.495053969
27	8.370268602
28	8.247691371
29	8.124401057
30	8.015520273
31	7.911237288
32	7.794264915
33	7.687363855
34	7.574237461
35	7.475516309
36	7.37503644
37	7.292061113
38	7.207736468
39	7.13161848
40	7.056263096
41	6.974831406
42	6.896848635
43	6.835344182
44	6.771478507
45	6.712341059
46	6.641192824
47	6.583422898
48	6.522477099
49	6.469454926
50	6.415929526
51	6.360588399
52	6.314838447
53	6.27009036
54	6.224708896
55	6.180176787
56	6.138932396
57	6.104155246
58	6.066178013
59	6.035319453
60	5.999242983
61	5.966927647
62	5.937445705
63	5.903523047
64	5.874011203
65	5.845785449
66	5.820246568
67	5.792490592
68	5.765429347
69	5.738254055
70	5.712871814
71	5.692780098
72	5.674773764
73	5.650918953
74	5.632689173
75	5.611900706
76	5.595226627
77	5.575976591
78	5.558103097
79	5.538369781
80	5.521242205
81	5.505560928
82	5.490494524
83	5.473248347
84	5.456019596
85	5.437553836
86	5.423702028
87	5.412162646
88	5.39767568
89	5.383520671
90	5.371159153
91	5.360118403
92	5.341839821
93	5.33143195
94	5.321921584
95	5.310319862
96	5.298280984
97	5.28402947
98	5.275616062
99	5.265660915
100	5.254187234
101	5.242907613
102	5.232208055
103	5.223614855
104	5.212910991
105	5.206985425
106	5.196879736
107	5.188315877
108	5.180638325
109	5.170360979
110	5.161557531
111	5.150783546
112	5.143546585
113	5.133463966
114	5.125684739
115	5.118093543
116	5.111725872
117	5.105345527
118	5.100021992
119	5.093424652
120	5.08622458
121	5.078571409
122	5.07193279
123	5.063216722
124	5.060281023
125	5.055058317
126	5.051611804
127	5.043128161
128	5.036547694
129	5.029315028
130	5.021088361
131	5.016008632
132	5.008642802
133	4.999183823
134	4.993093591
135	4.985519878
136	4.980980659
137	4.977947096
138	4.973771986
139	4.966980319
140	4.961662405
141	4.957177752
142	4.952736235
143	4.945363395
144	4.941509178
145	4.939673369
146	4.935651245
147	4.93021325
148	4.926149252
149	4.921504469
150	4.916994315
151	4.912853791
152	4.908211157
153	4.901707612
154	4.89572921
155	4.886605703
156	4.883694014
157	4.880555004
158	4.875791453
159	4.873137582
160	4.870798283
161	4.863926367
162	4.859069087
163	4.854623407
164	4.851629415
165	4.84454431
166	4.838137801
167	4.833592912
168	4.828220725
169	4.824193629
170	4.820577576
171	4.814901013
172	4.811553291
173	4.803205172
174	4.800640982
175	4.797978395
176	4.794035423
177	4.790922357
178	4.782339448
179	4.77772963
180	4.770589799
181	4.767122233
182	4.762521119
183	4.760275191
184	4.758060471
185	4.750340172
186	4.749478944
187	4.746190408
188	4.742276479
189	4.738590549
190	4.729905084
191	4.72749821
192	4.726090497
193	4.721729962
194	4.719936807
195	4.713617743
196	4.709498161
197	4.705642599
198	4.702063985
199	4.696959947
200	4.690773288
201	4.68689298
202	4.683634728
203	4.67812782
204	4.677038624
205	4.675221552
206	4.674065619
207	4.672342186
208	4.668153113
209	4.665974434
210	4.663657667
211	4.660596013
212	4.658939021
213	4.656665621
214	4.65271096
215	4.649303561
216	4.647491073
217	4.643647585
218	4.641993098
219	4.638799412
220	4.63355603
221	4.631331256
222	4.628349679
223	4.624977861
224	4.620772599
225	4.617997577
226	4.614517519
227	4.609808118
228	4.60861351
229	4.604756748
230	4.600381962
231	4.597457702
232	4.59002471
233	4.584934449
234	4.582976828
235	4.579824748
236	4.573462163
237	4.569264759
238	4.565971566
239	4.561347956
240	4.558712904
241	4.557593056
242	4.555310986
243	4.550490448
244	4.54915885
245	4.544989212
246	4.542619623
247	4.539670157
248	4.537762544
249	4.534188097
250	4.532606561
251	4.526304437
252	4.520836518
253	4.51916521
254	4.516397075
255	4.511939261
256	4.508183549
257	4.506242212
258	4.504614141
259	4.501283991
260	4.496336933
261	4.491358185
262	4.485637302
263	4.483563726
264	4.478040256
265	4.473786384
266	4.473059727
267	4.467605307
268	4.464800396
269	4.464025385
270	4.458369346
271	4.453218874
272	4.449528534
273	4.446769543
274	4.441189991
275	4.434006948
276	4.429377151
277	4.425915472
278	4.424005141
279	4.419079504
280	4.417011217
281	4.412923415
282	4.407011866
283	4.40595417
284	4.405312896
285	4.400844207
286	4.397186066
287	4.394605771
288	4.392797236
289	4.388651138
290	4.384955597
291	4.383530023
292	4.381012354
293	4.37766184
294	4.372827553
295	4.36924149
296	4.365127676
297	4.36278464
298	4.358302675
299	4.355478795
300	4.351360087
301	4.348063401
302	4.345125709
303	4.343623641
304	4.338687577
305	4.335479028
306	4.332409709
307	4.328627383
308	4.327618914
309	4.325016795
310	4.323493113
311	4.320629408
312	4.318242337
