iter	Passed	Remaining
0	0	874
1	1	772
2	2	706
3	2	661
4	3	640
5	3	616
6	4	628
7	5	635
8	5	632
9	6	616
10	6	602
11	7	592
12	7	591
13	8	587
14	8	581
15	9	576
16	9	571
17	10	580
18	11	587
19	11	587
20	12	590
21	13	591
22	13	588
23	14	589
24	15	586
25	15	585
26	16	589
27	17	590
28	17	593
29	18	591
30	18	592
31	19	592
32	20	590
33	20	587
34	21	585
35	21	583
36	22	582
37	23	583
38	23	583
39	24	581
40	24	578
41	25	575
42	25	574
43	26	575
44	27	575
45	27	574
46	28	576
47	29	578
48	29	579
49	30	579
50	31	578
51	31	579
52	32	578
53	32	577
54	33	574
55	34	573
56	34	572
57	35	572
58	35	571
59	36	570
60	36	568
61	37	566
62	37	565
63	38	563
64	39	561
65	39	559
66	40	559
67	40	560
68	41	562
69	42	562
70	42	561
71	43	560
72	44	560
73	44	558
74	45	556
75	45	554
76	46	553
77	46	552
78	47	551
79	48	552
80	48	551
81	49	550
82	49	550
83	50	550
84	51	549
85	51	548
86	52	547
87	52	546
88	53	545
89	54	547
90	54	548
91	55	548
92	56	547
93	56	546
94	57	545
95	57	544
96	58	543
97	58	542
98	59	542
99	60	542
100	60	542
101	61	541
102	62	540
103	62	540
104	63	539
105	63	538
106	64	537
107	64	536
108	65	535
109	66	534
110	66	535
111	67	536
112	68	537
113	69	537
114	69	536
115	70	535
116	70	534
117	71	534
118	72	534
119	73	538
120	74	540
121	75	541
122	75	541
123	76	540
124	77	540
125	77	540
126	78	541
127	79	542
128	80	544
129	81	545
130	82	545
131	82	544
132	83	544
133	84	544
134	85	544
135	85	544
136	86	545
137	87	544
138	87	543
139	88	543
140	89	542
141	89	542
142	90	541
143	91	541
144	91	541
145	92	540
146	93	539
147	93	538
148	94	538
149	94	537
150	95	536
151	95	534
152	96	534
153	97	533
154	97	533
155	98	533
156	99	532
157	99	531
158	100	530
159	100	529
160	101	527
161	101	526
162	102	524
163	102	524
164	103	523
165	104	523
166	104	522
167	105	520
168	105	519
169	106	518
170	106	517
171	107	518
172	108	517
173	109	517
174	109	517
175	110	516
176	110	515
177	111	514
178	112	513
179	112	512
180	112	511
181	113	509
182	113	508
183	114	507
184	114	506
185	115	506
186	116	506
187	116	505
188	117	503
189	117	502
190	118	501
191	118	499
192	119	498
193	119	497
194	120	496
195	120	495
196	121	494
197	122	494
198	122	494
199	123	493
200	124	493
201	124	492
202	125	491
203	125	491
204	126	490
205	127	490
206	127	489
207	128	489
208	129	489
209	129	488
210	130	487
211	131	487
212	131	486
213	132	485
214	132	484
215	133	483
216	133	483
217	134	482
218	135	482
