iter	RMSE
0	14.50673428
1	14.03034031
2	13.57814242
3	13.12822895
4	12.70764081
5	12.33695895
6	11.99569147
7	11.69765553
8	11.34529051
9	11.00092869
10	10.68316665
11	10.40189648
12	10.13502816
13	9.868526664
14	9.631371943
15	9.383991387
16	9.154892635
17	8.92700364
18	8.726379385
19	8.5315532
20	8.362934954
21	8.19822584
22	8.04317285
23	7.883682057
24	7.748876563
25	7.615066927
26	7.480750862
27	7.367590166
28	7.253146386
29	7.148416111
30	7.054015526
31	6.949351794
32	6.862838705
33	6.781864421
34	6.692066206
35	6.615862471
36	6.537862164
37	6.467341578
38	6.398668175
39	6.333349161
40	6.280681732
41	6.227883363
42	6.167541468
43	6.125583794
44	6.077715291
45	6.033905084
46	5.991101153
47	5.947537204
48	5.90801286
49	5.869222982
